,Feature,Importance
293,average_temp_11 year_1976,0.00035969861292180325
294,D0_9 N0_11,0.0003587511495407483
295,state_IDAHO year_2017,0.00035847392836670837
296,average_temp_6 state_CALIFORNIA,0.00035828137212167934
297,N0_7 year_1972,0.0003556143854586167
298,average_temp_4 state_WEST VIRGINIA,0.00035537575908954193
299,W0_10 year_1972,0.0003539233679867053
300,W3_11 average_temp_6,0.00035289738269173883
301,average_temp_10 average_temp_11,0.0003517715516166648
302,W4_8 state_NEW MEXICO,0.0003494803606263881
303,average_temp_4 year_1970,0.0003485855787221564
304,average_temp_9 state_NEW MEXICO,0.0003460428989783805
305,D0_5 D4_9,0.0003454918239632523
306,state_IDAHO year_2014,0.0003453859715909905
307,W1_10 year_2007,0.00034346729793252676
308,N0_4 year_1977,0.0003422277203447494
309,average_temp_9 year_1979,0.0003418477470501534
310,average_temp_7 state_CALIFORNIA,0.00034038407036636014
311,average_temp_8 year_1980,0.00033874996951147865
312,state_IDAHO year_2016,0.0003377597543241177
313,state_ALABAMA year_1976,0.00033744428345430045
314,W0_9 year_1973,0.00033724013490533776
315,D2_8 year_1975,0.0003370188509350278
316,year_2006 year_2010,0.00033651091053454115
317,D0_8 year_1975,0.0003362377021978321
318,D4_9 average_temp_9,0.000336163991148553
319,W4_6 average_temp_9,0.0003359113169335766
320,state_OREGON year_2004,0.00033455893318080134
321,average_temp_8 average_temp_10,0.00033378234864931246
322,W0_5 W3_8,0.0003334813811900806
323,D1_7 N0_8,0.000332512847783348
324,D1_9 year_1973,0.000330776375688213
325,state_OREGON year_2013,0.00032869266264038815
326,state_COLORADO state_IDAHO,0.00032683873552193424
327,state_WEST VIRGINIA year_1972,0.00032397551486687895
328,year_1979 year_1981,0.00032297865126252006
329,N0_7 N0_10,0.00032279556769628165
330,state_IDAHO year_2009,0.00032131006634712565
331,N0_7 year_1970,0.0003197812929626865
332,year_2009 year_2018,0.00031895990899773267
333,year_1983 year_1988,0.00031630890196911393
334,average_temp_5 state_TEXAS,0.0003159128748891099
335,average_temp_9 state_CALIFORNIA,0.0003157839416143421
336,W4_10 state_CALIFORNIA,0.0003152221623275538
337,average_temp_7 state_NEW MEXICO,0.0003151840083927944
338,state_ARIZONA year_2009,0.00031487943424979693
339,state_ALABAMA year_1973,0.00031335632482660494
340,state_OREGON year_2009,0.0003117353463426951
341,year_1977 year_1979,0.00031128428576281976
342,year_2010 year_2014,0.0003093366976315419
343,W0_10 W1_11,0.00030921033685419745
344,W1_8 W2_7,0.00030852895730364046
345,state_FLORIDA year_1983,0.0003067156427523654
346,state_SOUTH DAKOTA year_1970,0.0003064911741118958
347,year_1980 year_1993,0.0003057482810073607
348,average_temp_5 state_OREGON,0.0003035769339757611
349,state_IDAHO state_IOWA,0.0003032129013698543
